 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in NIT.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  37,50 MeV   1,053E-02  4,524E-06    5,83 mm   258,35 um   359,32 um  
  40,00 MeV   1,002E-02  4,269E-06    6,54 mm   284,06 um   400,88 um  
  45,00 MeV   9,156E-03  3,840E-06    8,04 mm   368,57 um   489,62 um  
  50,00 MeV   8,450E-03  3,492E-06    9,68 mm   449,78 um   585,59 um  
  55,00 MeV   7,860E-03  3,204E-06   11,45 mm   530,07 um   688,51 um  
  60,00 MeV   7,359E-03  2,962E-06   13,35 mm   610,50 um   798,14 um  
  65,00 MeV   6,929E-03  2,755E-06   15,37 mm   691,62 um   914,25 um  
  70,00 MeV   6,556E-03  2,577E-06   17,51 mm   773,74 um     1,04 mm  
  80,00 MeV   5,937E-03  2,283E-06   22,14 mm     1,05 mm     1,30 mm  
  90,00 MeV   5,446E-03  2,052E-06   27,22 mm     1,31 mm     1,59 mm  
 100,00 MeV   5,046E-03  1,865E-06   32,73 mm     1,56 mm     1,89 mm  
 110,00 MeV   4,713E-03  1,710E-06   38,65 mm     1,81 mm     2,22 mm  
 120,00 MeV   4,433E-03  1,580E-06   44,97 mm     2,07 mm     2,57 mm  
 130,00 MeV   4,193E-03  1,469E-06   51,67 mm     2,32 mm     2,93 mm  
 140,00 MeV   3,985E-03  1,373E-06   58,73 mm     2,58 mm     3,31 mm  
 150,00 MeV   3,803E-03  1,290E-06   66,15 mm     2,84 mm     3,71 mm  
 160,00 MeV   3,643E-03  1,216E-06   73,92 mm     3,10 mm     4,13 mm  
 170,00 MeV   3,500E-03  1,151E-06   82,01 mm     3,37 mm     4,56 mm  
 180,00 MeV   3,373E-03  1,092E-06   90,42 mm     3,64 mm     5,00 mm  
 200,00 MeV   3,154E-03  9,919E-07  108,14 mm     4,53 mm     5,92 mm  
 225,00 MeV   2,934E-03  8,907E-07  131,89 mm     5,79 mm     7,15 mm  
 250,00 MeV   2,756E-03  8,088E-07  157,31 mm     6,96 mm     8,44 mm  
 275,00 MeV   2,610E-03  7,412E-07  184,25 mm     8,09 mm     9,79 mm  
 300,00 MeV   2,488E-03  6,844E-07  212,62 mm     9,19 mm    11,19 mm  
 325,00 MeV   2,384E-03  6,360E-07  242,31 mm    10,27 mm    12,63 mm  
 350,00 MeV   2,295E-03  5,942E-07  273,22 mm    11,34 mm    14,12 mm  
 375,00 MeV   2,218E-03  5,577E-07  305,27 mm    12,40 mm    15,64 mm  
 400,00 MeV   2,151E-03  5,256E-07  338,37 mm    13,44 mm    17,20 mm  
 450,00 MeV   2,039E-03  4,717E-07  407,45 mm    16,95 mm    20,39 mm  
 500,00 MeV   1,951E-03  4,281E-07  479,98 mm    20,15 mm    23,66 mm  
 550,00 MeV   1,880E-03  3,922E-07  555,55 mm    23,15 mm    26,99 mm  
 600,00 MeV   1,821E-03  3,620E-07  633,78 mm    26,01 mm    30,37 mm  
 650,00 MeV   1,772E-03  3,363E-07  714,35 mm    28,75 mm    33,78 mm  
 700,00 MeV   1,731E-03  3,140E-07  796,99 mm    31,39 mm    37,20 mm  
 800,00 MeV   1,667E-03  2,776E-07  967,46 mm    40,19 mm    44,08 mm  
 900,00 MeV   1,620E-03  2,490E-07    1,14 m     47,88 mm    50,93 mm  
   1,00 GeV   1,584E-03  2,259E-07    1,32 m     54,87 mm    57,73 mm  
   1,10 GeV   1,556E-03  2,069E-07    1,51 m     61,33 mm    64,44 mm  
   1,20 GeV   1,535E-03  1,909E-07    1,70 m     67,39 mm    71,04 mm  
   1,30 GeV   1,519E-03  1,772E-07    1,89 m     73,10 mm    77,54 mm  
   1,40 GeV   1,506E-03  1,655E-07    2,08 m     78,51 mm    83,91 mm  
   1,50 GeV   1,497E-03  1,552E-07    2,27 m     83,67 mm    90,16 mm  
   1,60 GeV   1,489E-03  1,462E-07    2,47 m     88,61 mm    96,28 mm  
   1,70 GeV   1,483E-03  1,382E-07    2,66 m     93,34 mm   102,28 mm  
   1,80 GeV   1,479E-03  1,311E-07    2,86 m     97,89 mm   108,16 mm  
   2,00 GeV   1,474E-03  1,189E-07    3,25 m    113,47 mm   119,56 mm  
   2,25 GeV   1,472E-03  1,066E-07    3,74 m    134,13 mm   133,16 mm  
   2,50 GeV   1,474E-03  9,664E-08    4,23 m    152,05 mm   146,11 mm  
   2,75 GeV   1,478E-03  8,845E-08    4,73 m    168,05 mm   158,45 mm  
   3,00 GeV   1,483E-03  8,157E-08    5,22 m    182,60 mm   170,24 mm  
   3,25 GeV   1,489E-03  7,572E-08    5,70 m    195,99 mm   181,51 mm  
   3,50 GeV   1,496E-03  7,067E-08    6,19 m    208,44 mm   192,32 mm  
   3,75 GeV   1,503E-03  6,628E-08    6,67 m    220,10 mm   202,70 mm  
   4,00 GeV   1,510E-03  6,241E-08    7,16 m    231,08 mm   212,69 mm  
   4,50 GeV   1,525E-03  5,592E-08    8,11 m    268,89 mm   231,61 mm  
   5,00 GeV   1,540E-03  5,069E-08    9,06 m    301,43 mm   249,29 mm  
   5,50 GeV   1,555E-03  4,638E-08   10,00 m    330,27 mm   265,89 mm  
   6,00 GeV   1,569E-03  4,276E-08   10,93 m    356,33 mm   281,55 mm  
   6,50 GeV   1,583E-03  3,968E-08   11,85 m    380,22 mm   296,38 mm  
   7,00 GeV   1,596E-03  3,703E-08   12,76 m    402,34 mm   310,49 mm  
   8,00 GeV   1,620E-03  3,269E-08   14,57 m    477,77 mm   336,80 mm  
   9,00 GeV   1,643E-03  2,928E-08   16,35 m    541,09 mm   360,98 mm  
  10,00 GeV   1,664E-03  2,653E-08   18,10 m    596,33 mm   383,39 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3,4399E+01                 eV / Angstrom 
  3,4399E+02                keV / micron   
  3,4399E+02                MeV / mm       
  1,0000E+00                keV / (ug/cm2) 
  1,0000E+00                MeV / (mg/cm2) 
  1,0000E+03                keV / (mg/cm2) 
  4,1495E+01                 eV / (1E15 atoms/cm2)
  2,7213E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
