 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in NIT.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  80,00 MeV   1,394E+00  7,667E-04  108,80 um     4,36 um     2,51 um  
  90,00 MeV   1,287E+00  6,912E-04  130,49 um     5,37 um     2,92 um  
 100,00 MeV   1,195E+00  6,299E-04  153,90 um     6,35 um     3,35 um  
 110,00 MeV   1,117E+00  5,790E-04  179,04 um     7,32 um     3,82 um  
 120,00 MeV   1,048E+00  5,361E-04  205,90 um     8,30 um     4,31 um  
 130,00 MeV   9,867E-01  4,994E-04  234,46 um     9,28 um     4,84 um  
 140,00 MeV   9,325E-01  4,677E-04  264,74 um    10,27 um     5,39 um  
 150,00 MeV   8,839E-01  4,399E-04  296,73 um    11,28 um     5,97 um  
 160,00 MeV   8,402E-01  4,154E-04  330,43 um    12,30 um     6,58 um  
 170,00 MeV   8,007E-01  3,936E-04  365,84 um    13,35 um     7,22 um  
 180,00 MeV   7,648E-01  3,740E-04  402,96 um    14,41 um     7,88 um  
 200,00 MeV   7,022E-01  3,405E-04  482,24 um    18,38 um     9,31 um  
 225,00 MeV   6,377E-01  3,065E-04  590,77 um    24,10 um    11,24 um  
 250,00 MeV   5,853E-01  2,790E-04  709,65 um    29,54 um    13,36 um  
 275,00 MeV   5,422E-01  2,562E-04  838,58 um    34,89 um    15,64 um  
 300,00 MeV   5,066E-01  2,370E-04  977,15 um    40,20 um    18,09 um  
 325,00 MeV   4,770E-01  2,206E-04    1,12 mm    45,50 um    20,69 um  
